algo,world_size,nbytes,alpha_ns,beta_ns_per_byte,jitter_q,jitter_k,jitter_seed,trial,iter,duration_ns,injected_ns,messages,ranks_observed,spread_ns
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,0,69033917,26817512,4,4,60375
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,1,67320834,26817512,4,4,1322834
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,2,63779959,26817512,4,4,1500334
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,3,58556333,26817512,4,4,2120667
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,4,63174583,26817512,4,4,1329583
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,5,73147708,26817512,4,4,2033624
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,6,59630292,26817512,4,4,1614584
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,7,60000667,26817512,4,4,893876
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,8,60611250,26817512,4,4,2097958
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,9,59127042,26817512,4,4,1170750
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,10,58438541,26817512,4,4,1639124
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,11,57293000,26817512,4,4,1367750
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,12,67960834,26817512,4,4,1693751
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,13,61702666,26817512,4,4,1586291
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,14,61343250,26817512,4,4,1484125
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,15,59618750,26817512,4,4,74666
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,16,59180709,26817512,4,4,1590167
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,17,69777167,26817512,4,4,1300792
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,18,56490500,26817512,4,4,207041
recursive,4,44695848,0.0,0.4,0.0,1.0,53,0,19,59850917,26817512,4,4,54584
recursive,4,44695848,0.0,0.05,0.0,1.0,53,0,0,39880000,3352188,4,4,1050333
