algo,world_size,nbytes,alpha_ns,beta_ns_per_byte,jitter_q,jitter_k,jitter_seed,trial,iter,duration_ns,injected_ns,messages,ranks_observed,spread_ns
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,0,5950042,0,2,2,285042
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,1,5752750,0,2,2,13917
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,2,6009500,0,2,2,356500
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,3,6167500,0,2,2,213708
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,4,5784417,0,2,2,21458
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,5,5922917,0,2,2,306125
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,6,6858666,0,2,2,192249
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,7,7340834,0,2,2,11667
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,8,7045125,0,2,2,5833
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,9,7546750,0,2,2,278542
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,10,7571750,0,2,2,13792
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,11,6521084,0,2,2,417
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,12,7776542,0,2,2,323333
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,13,7598583,0,2,2,282999
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,14,7514791,0,2,2,6249
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,15,7396209,0,2,2,26292
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,16,7476875,0,2,2,15417
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,17,7879708,0,2,2,3291
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,18,7330542,0,2,2,367334
ring,2,16777216,0.0,0.0,0.0,1.0,61,0,19,2974125,0,2,2,153416
ring,2,4194304,0.0,0.0,0.0,1.0,61,0,0,640958,0,2,2,8916
ring,2,4194304,0.0,0.0,0.0,1.0,61,0,1,644000,0,2,2,28625
ring,2,4194304,0.0,0.0,0.0,1.0,61,0,2,646667,0,2,2,3542
ring,2,4194304,0.0,0.0,0.0,1.0,61,0,3,725250,0,2,2,56042
ring,2,4194304,0.0,0.0,0.0,1.0,61,0,4,646750,0,2,2,14041
ring,2,4194304,0.0,0.0,0.0,1.0,61,0,5,645416,0,2,2,7999
ring,2,4194304,0.0,0.0,0.0,1.0,61,0,6,751666,0,2,2,52958
ring,2,4194304,0.0,0.0,0.0,1.0,61,0,7,655542,0,2,2,14751
ring,2,4194304,0.0,0.0,0.0,1.0,61,0,8,609334,0,2,2,7001
ring,2,4194304,0.0,0.0,0.0,1.0,61,0,9,699833,0,2,2,1083
ring,2,4194304,0.0,0.0,0.0,1.0,61,0,10,652625,0,2,2,13084
ring,2,4194304,0.0,0.0,0.0,1.0,61,0,11,620917,0,2,2,22708
ring,2,4194304,0.0,0.0,0.0,1.0,61,0,12,649125,0,2,2,51458
ring,2,4194304,0.0,0.0,0.0,1.0,61,0,13,602292,0,2,2,17542
ring,2,4194304,0.0,0.0,0.0,1.0,61,0,14,627708,0,2,2,7499
ring,2,4194304,0.0,0.0,0.0,1.0,61,0,15,616583,0,2,2,12125
