algo,world_size,nbytes,alpha_ns,beta_ns_per_byte,jitter_q,jitter_k,jitter_seed,trial,iter,duration_ns,injected_ns,messages,ranks_observed,spread_ns
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,0,3277625,0,2,2,17541
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,1,3529458,0,2,2,196417
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,2,3332375,0,2,2,174000
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,3,3151917,0,2,2,264584
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,4,3209416,0,2,2,128541
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,5,3052500,0,2,2,169459
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,6,3147667,0,2,2,5542
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,7,3211709,0,2,2,159750
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,8,2948625,0,2,2,140875
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,9,3161458,0,2,2,80458
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,10,3309084,0,2,2,17667
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,11,3167208,0,2,2,198958
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,12,3109000,0,2,2,23541
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,13,3285291,0,2,2,23833
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,14,3154250,0,2,2,6042
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,15,3154166,0,2,2,254208
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,16,3264584,0,2,2,156375
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,17,2953917,0,2,2,272334
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,18,3322791,0,2,2,203583
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,19,3195708,0,2,2,324083
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,20,1301333,0,2,2,1624
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,21,1514917,0,2,2,29709
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,22,1548042,0,2,2,10084
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,23,1276542,0,2,2,1792
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,24,1329917,0,2,2,3459
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,25,1465375,0,2,2,3000
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,26,1474917,0,2,2,87250
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,27,1413917,0,2,2,10583
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,28,1280458,0,2,2,416
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,29,1239708,0,2,2,1874
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,30,1430000,0,2,2,144833
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,31,1548500,0,2,2,165167
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,32,1503458,0,2,2,141583
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,33,1363916,0,2,2,66749
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,34,1301250,0,2,2,2125
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,35,1231709,0,2,2,3334
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,36,1271291,0,2,2,8958
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,37,1363333,0,2,2,27833
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,38,1467958,0,2,2,5166
recursive,2,8388608,0.0,0.0,0.0,1.0,11,0,39,2954041,0,2,2,1582
ring,2,1048576,0.0,0.0,0.0,1.0,11,0,0,346708,0,2,2,4541
ring,2,1048576,0.0,0.0,0.0,1.0,11,0,1,319542,0,2,2,14708
ring,2,1048576,0.0,0.0,0.0,1.0,11,0,2,333459,0,2,2,751
ring,2,1048576,0.0,0.0,0.0,1.0,11,0,3,369584,0,2,2,61459
ring,2,1048576,0.0,0.0,0.0,1.0,11,0,4,369792,0,2,2,3334
ring,2,1048576,0.0,0.0,0.0,1.0,11,0,5,374709,0,2,2,20001
ring,2,1048576,0.0,0.0,0.0,1.0,11,0,6,387291,0,2,2,43749
ring,2,1048576,0.0,0.0,0.0,1.0,11,0,7,374958,0,2,2,11833
ring,2,1048576,0.0,0.0,0.0,1.0,11,0,8,319708,0,2,2,6417
