algo,world_size,nbytes,alpha_ns,beta_ns_per_byte,jitter_q,jitter_k,jitter_seed,trial,iter,duration_ns,injected_ns,messages,ranks_observed,spread_ns
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,0,1258375,519430,2,2,28125
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,1,1070417,519430,2,2,73584
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,2,1089166,519430,2,2,102708
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,3,1127625,519430,2,2,98334
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,4,1002167,519430,2,2,63084
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,5,1027417,519430,2,2,72834
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,6,1114792,519430,2,2,93000
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,7,1080458,519430,2,2,61541
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,8,1099750,519430,2,2,96167
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,9,1059833,519430,2,2,92792
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,10,1062708,519430,2,2,46792
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,11,1099667,519430,2,2,83084
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,12,1006250,519430,2,2,49250
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,13,1069500,519430,2,2,68416
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,14,1144791,519430,2,2,88874
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,15,1029458,519430,2,2,36624
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,16,1045917,519430,2,2,60792
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,17,1079833,519430,2,2,87124
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,18,1074292,519430,2,2,51334
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,19,984125,519430,2,2,33583
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,20,1043292,519430,2,2,58792
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,21,1141125,519430,2,2,60666
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,22,1031625,519430,2,2,77167
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,23,1104541,519430,2,2,98916
ring,2,1048576,50000.0,0.4,0.0,1.0,7,0,24,1008625,519430,2,2,59542
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,0,2205542,2000000,2,2,24459
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,1,2182792,2000000,2,2,8584
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,2,2174208,2000000,2,2,10750
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,3,2186417,2000000,2,2,17875
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,4,2245500,2000000,2,2,38875
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,5,2197458,2000000,2,2,24791
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,6,2201500,2000000,2,2,12958
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,7,2247542,2000000,2,2,23334
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,8,2205334,2000000,2,2,10167
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,9,2204375,2000000,2,2,48750
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,10,2186583,2000000,2,2,7375
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,11,2278333,2000000,2,2,47166
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,12,2142041,2000000,2,2,3916
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,13,2205375,2000000,2,2,8125
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,14,2198875,2000000,2,2,38000
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,15,2187708,2000000,2,2,5083
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,16,2185208,2000000,2,2,17166
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,17,2184875,2000000,2,2,19709
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,18,2162709,2000000,2,2,2251
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,19,2174334,2000000,2,2,46959
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,20,2182792,2000000,2,2,61084
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,21,2209958,2000000,2,2,8416
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,22,2210583,2000000,2,2,7125
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,23,2216959,2000000,2,2,89542
ring,2,4096,1000000.0,0.0,0.0,1.0,7,0,24,2236791,2000000,2,2,32250
recursive,2,8388608,0.0,0.4,0.0,1.0,7,0,0,6801667,3355442,2,2,30250
recursive,2,8388608,0.0,0.4,0.0,1.0,7,0,1,7187584,3355442,2,2,373875
recursive,2,8388608,0.0,0.4,0.0,1.0,7,0,2,6788500,3355442,2,2,320458
recursive,2,8388608,0.0,0.4,0.0,1.0,7,0,3,6685250,3355442,2,2,389083
recursive,2,8388608,0.0,0.4,0.0,1.0,7,0,4,7181125,3355442,2,2,236834
recursive,2,8388608,0.0,0.4,0.0,1.0,7,0,5,6923334,3355442,2,2,298125
recursive,2,8388608,0.0,0.4,0.0,1.0,7,0,6,7143125,3355442,2,2,119791
recursive,2,8388608,0.0,0.4,0.0,1.0,7,0,7,6617250,3355442,2,2,261583
recursive,2,8388608,0.0,0.4,0.0,1.0,7,0,8,7077625,3355442,2,2,444333
