algo,world_size,nbytes,alpha_ns,beta_ns_per_byte,jitter_q,jitter_k,jitter_seed,trial,iter,duration_ns,injected_ns,messages,ranks_observed,spread_ns
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,0,1766250,619430,1,2,116292
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,1,1734708,619430,1,2,41124
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,2,1738750,619430,1,2,106125
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,3,1714875,619430,1,2,117125
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,4,1768625,619430,1,2,127208
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,5,1675542,619430,1,2,68459
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,6,1716167,619430,1,2,94708
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,7,1704541,619430,1,2,54000
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,8,1707292,619430,1,2,97667
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,9,1707416,619430,1,2,85124
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,10,1746042,619430,1,2,107750
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,11,1711167,619430,1,2,99125
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,12,1704708,619430,1,2,88083
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,13,1730875,619430,1,2,94417
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,14,1726833,619430,1,2,104708
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,15,1756500,619430,1,2,84959
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,16,1703750,619430,1,2,76166
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,17,1707708,619430,1,2,77167
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,18,1755959,619430,1,2,87126
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,19,1765458,619430,1,2,87542
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,20,1693584,619430,1,2,97834
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,21,1732250,619430,1,2,79250
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,22,1677333,619430,1,2,69875
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,23,1771000,619430,1,2,77250
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,24,1697166,619430,1,2,69458
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,25,1701583,619430,1,2,77416
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,26,1740333,619430,1,2,106208
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,27,1731042,619430,1,2,84500
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,28,1717416,619430,1,2,61250
ps,2,1048576,200000.0,0.4,0.0,1.0,23,0,29,1718875,619430,1,2,103625
