algo,world_size,nbytes,alpha_ns,beta_ns_per_byte,jitter_q,jitter_k,jitter_seed,trial,iter,duration_ns,injected_ns,messages,ranks_observed,spread_ns
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,0,1229708,802456,4,4,30125
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,1,1159417,802456,4,4,36542
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,2,1178125,802456,4,4,44708
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,3,1149375,802456,4,4,50917
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,4,1112875,802456,4,4,15041
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,5,1140833,802456,4,4,31124
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,6,1135542,802456,4,4,42208
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,7,1117084,802456,4,4,18001
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,8,1123083,802456,4,4,19958
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,9,1112125,802456,4,4,2667
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,10,1125625,802456,4,4,24041
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,11,1101125,802456,4,4,17125
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,12,1130209,802456,4,4,50376
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,13,1117041,802456,4,4,20791
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,14,1138250,802456,4,4,26375
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,15,8214334,802456,4,4,1811500
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,16,1131500,802456,4,4,60708
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,17,1106125,802456,4,4,16167
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,18,1105458,802456,4,4,30291
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,19,1153000,802456,4,4,57958
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,20,1120708,802456,4,4,32042
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,21,1129084,802456,4,4,27209
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,22,1106458,802456,4,4,14500
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,23,1118708,802456,4,4,37083
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,24,1125625,802456,4,4,42542
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,25,1105375,802456,4,4,8500
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,26,1155542,802456,4,4,24834
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,27,1136042,802456,4,4,29250
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,28,1109875,802456,4,4,19250
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,29,1149083,802456,4,4,48833
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,30,1243166,802456,4,4,117750
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,31,1108500,802456,4,4,9958
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,32,1108375,802456,4,4,30542
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,33,1125042,802456,4,4,22751
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,34,1110125,802456,4,4,27084
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,35,1106875,802456,4,4,23750
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,36,1140375,802456,4,4,42666
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,37,1125416,802456,4,4,28707
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,38,1097500,802456,4,4,7417
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,39,1128458,802456,4,4,21791
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,40,1118625,802456,4,4,28042
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,41,1119750,802456,4,4,29750
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,42,1094416,802456,4,4,34750
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,43,1093709,802456,4,4,21626
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,44,1163958,802456,4,4,63417
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,45,1132875,802456,4,4,72958
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,46,1080125,802456,4,4,27375
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,47,1103250,802456,4,4,20083
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,48,1088958,802456,4,4,35708
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,49,1084417,802456,4,4,28251
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,50,1085709,802456,4,4,15168
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,51,1106291,802456,4,4,23833
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,52,8208666,802456,4,4,1789749
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,53,1126416,802456,4,4,15916
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,54,8238792,802456,4,4,1843251
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,55,1119250,802456,4,4,35625
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,56,1128792,802456,4,4,33334
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,57,1182084,802456,4,4,48959
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,58,1106292,802456,4,4,8833
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,59,1142000,802456,4,4,46709
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,60,1118459,802456,4,4,25001
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,61,1112958,802456,4,4,9708
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,62,1121167,802456,4,4,28167
recursive,4,4096,200000.0,0.4,0.01,10.0,113,0,63,1146000,802456,4,4,43500
