algo,world_size,nbytes,alpha_ns,beta_ns_per_byte,jitter_q,jitter_k,jitter_seed,trial,iter,duration_ns,injected_ns,messages,ranks_observed,spread_ns
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,0,607791,426214,2,2,23541
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,1,553000,426214,2,2,1084
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,2,563584,426214,2,2,5917
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,3,544166,426214,2,2,4624
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,4,577959,426214,2,2,18918
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,5,541250,426214,2,2,5417
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,6,549750,426214,2,2,1334
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,7,544250,426214,2,2,9541
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,8,557541,426214,2,2,11541
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,9,542333,426214,2,2,500
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,10,548083,426214,2,2,3958
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,11,547875,426214,2,2,1250
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,12,547500,426214,2,2,4250
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,13,535750,426214,2,2,2166
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,14,534583,426214,2,2,3041
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,15,553542,426214,2,2,3334
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,16,544583,426214,2,2,1833
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,17,570666,426214,2,2,1082
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,18,572625,426214,2,2,6542
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,19,570375,426214,2,2,6667
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,20,560667,426214,2,2,1251
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,21,560084,426214,2,2,1251
ring,2,65536,200000.0,0.4,0.0,1.0,31,0,22,569291,426214,2,2,7083
