algo,world_size,nbytes,alpha_ns,beta_ns_per_byte,jitter_q,jitter_k,jitter_seed,trial,iter,duration_ns,injected_ns,messages,ranks_observed,spread_ns
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,0,3786583,2077720,2,2,275583
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,1,3734625,2077720,2,2,75375
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,2,3765000,2077720,2,2,54250
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,3,3536250,2077720,2,2,178584
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,4,3688458,2077720,2,2,191624
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,5,3703625,2077720,2,2,170209
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,6,3686000,2077720,2,2,103875
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,7,3678792,2077720,2,2,93584
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,8,3681958,2077720,2,2,71666
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,9,3559417,2077720,2,2,211750
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,10,3570166,2077720,2,2,238166
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,11,3921667,2077720,2,2,99208
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,12,3983083,2077720,2,2,2083
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,13,3920917,2077720,2,2,10375
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,14,3805250,2077720,2,2,119125
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,15,4077958,2077720,2,2,171333
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,16,3978792,2077720,2,2,71500
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,17,4010792,2077720,2,2,27875
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,18,3991667,2077720,2,2,750
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,19,3843125,2077720,2,2,2792
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,20,3913416,2077720,2,2,160374
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,21,3954875,2077720,2,2,166458
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,22,3845708,2077720,2,2,7625
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,23,3830750,2077720,2,2,13750
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,24,3928334,2077720,2,2,1001
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,25,3895708,2077720,2,2,17416
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,26,3777083,2077720,2,2,145874
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,27,3948791,2077720,2,2,88708
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,28,3848458,2077720,2,2,59249
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,29,3811042,2077720,2,2,334250
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,30,3844791,2077720,2,2,121291
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,31,3744291,2077720,2,2,44957
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,32,3670958,2077720,2,2,97291
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,33,3682667,2077720,2,2,225208
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,34,3726209,2077720,2,2,111543
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,35,3774584,2077720,2,2,33918
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,36,3593209,2077720,2,2,158042
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,37,3569958,2077720,2,2,235958
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,38,3839875,2077720,2,2,70875
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,39,3701042,2077720,2,2,150500
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,40,3635125,2077720,2,2,176375
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,41,3712833,2077720,2,2,138041
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,42,3657125,2077720,2,2,127500
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,43,3550000,2077720,2,2,237000
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,44,3660041,2077720,2,2,143375
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,45,3735708,2077720,2,2,184250
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,46,3602792,2077720,2,2,222000
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,47,3622833,2077720,2,2,82958
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,48,3580500,2077720,2,2,199792
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,49,3691333,2077720,2,2,130749
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,50,3690958,2077720,2,2,157208
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,51,3556500,2077720,2,2,239500
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,52,3583875,2077720,2,2,174958
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,53,3597792,2077720,2,2,237709
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,54,3704542,2077720,2,2,134083
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,55,3981167,2077720,2,2,75750
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,56,3707500,2077720,2,2,181666
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,57,3837542,2077720,2,2,13583
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,58,3663208,2077720,2,2,125916
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,59,3467167,2077720,2,2,150667
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,60,3725208,2077720,2,2,191458
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,61,3618084,2077720,2,2,200292
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,62,3762375,2077720,2,2,133041
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,63,3645250,2077720,2,2,131791
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,64,3828958,2077720,2,2,79666
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,65,3627583,2077720,2,2,82375
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,66,3829459,2077720,2,2,171709
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,67,3709917,2077720,2,2,77959
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,68,3664250,2077720,2,2,117750
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,69,3599791,2077720,2,2,222041
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,70,3575833,2077720,2,2,180667
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,71,3521667,2077720,2,2,191667
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,72,3721666,2077720,2,2,115875
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,73,3688375,2077720,2,2,281625
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,74,3676041,2077720,2,2,193207
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,75,3653500,2077720,2,2,208041
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,76,3549208,2077720,2,2,197458
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,77,3611917,2077720,2,2,164083
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,78,3578500,2077720,2,2,212250
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,79,3543333,2077720,2,2,200208
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,80,3573333,2077720,2,2,185458
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,81,3594334,2077720,2,2,233209
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,82,3503458,2077720,2,2,191542
ring,2,4194304,200000.0,0.4,0.0,1.0,71,0,83,3684708,2077720,2,2,108458
