algo,world_size,nbytes,alpha_ns,beta_ns_per_byte,jitter_q,jitter_k,jitter_seed,trial,iter,duration_ns,injected_ns,messages,ranks_observed,spread_ns
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,0,942708,226214,1,2,13583
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,1,793500,226214,1,2,20000
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,2,754791,226214,1,2,30999
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,3,700208,226214,1,2,20292
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,4,720292,226214,1,2,13667
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,5,670167,226214,1,2,15126
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,6,689375,226214,1,2,15875
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,7,799500,226214,1,2,56583
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,8,712250,226214,1,2,11916
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,9,707709,226214,1,2,2501
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,10,776250,226214,1,2,27291
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,11,687917,226214,1,2,16167
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,12,681667,226214,1,2,11292
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,13,720708,226214,1,2,26000
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,14,674917,226214,1,2,19500
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,15,678083,226214,1,2,7833
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,16,629333,226214,1,2,15291
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,17,646083,226214,1,2,17917
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,18,659625,226214,1,2,11250
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,19,678958,226214,1,2,12208
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,20,644875,226214,1,2,15083
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,21,784709,226214,1,2,13709
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,22,676709,226214,1,2,9959
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,23,684500,226214,1,2,19709
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,24,699083,226214,1,2,19917
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,25,683041,226214,1,2,5749
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,26,691583,226214,1,2,21874
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,27,672875,226214,1,2,24083
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,28,661084,226214,1,2,12834
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,29,683500,226214,1,2,13125
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,30,668625,226214,1,2,19667
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,31,672834,226214,1,2,10542
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,32,659584,226214,1,2,15001
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,33,671250,226214,1,2,13125
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,34,693750,226214,1,2,18000
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,35,699500,226214,1,2,15875
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,36,683541,226214,1,2,17583
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,37,696250,226214,1,2,20042
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,38,686042,226214,1,2,15250
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,39,686875,226214,1,2,17084
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,40,742000,226214,1,2,21041
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,41,680292,226214,1,2,12875
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,42,692208,226214,1,2,12874
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,43,677250,226214,1,2,5958
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,44,701125,226214,1,2,4291
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,45,679791,226214,1,2,14124
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,46,686583,226214,1,2,31041
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,47,691375,226214,1,2,11667
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,48,695458,226214,1,2,12083
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,49,681375,226214,1,2,16625
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,50,691625,226214,1,2,20708
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,51,686625,226214,1,2,9416
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,52,704542,226214,1,2,5667
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,53,673250,226214,1,2,21500
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,54,705500,226214,1,2,4041
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,55,751250,226214,1,2,23209
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,56,680334,226214,1,2,27959
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,57,682917,226214,1,2,14959
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,58,677583,226214,1,2,19166
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,59,679333,226214,1,2,2958
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,60,673416,226214,1,2,46583
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,61,662958,226214,1,2,34708
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,62,667291,226214,1,2,4791
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,63,729458,226214,1,2,16458
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,64,700958,226214,1,2,18124
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,65,715833,226214,1,2,8708
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,66,695292,226214,1,2,33875
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,67,692958,226214,1,2,24999
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,68,703667,226214,1,2,13875
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,69,748958,226214,1,2,8958
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,70,745875,226214,1,2,70708
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,71,682583,226214,1,2,5458
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,72,673542,226214,1,2,3501
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,73,683708,226214,1,2,19708
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,74,686125,226214,1,2,3834
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,75,691958,226214,1,2,16458
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,76,687583,226214,1,2,5583
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,77,696959,226214,1,2,31209
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,78,672042,226214,1,2,13042
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,79,695833,226214,1,2,16416
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,80,656708,226214,1,2,20666
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,81,659750,226214,1,2,10292
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,82,678542,226214,1,2,11959
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,83,659208,226214,1,2,6333
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,84,669375,226214,1,2,10833
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,85,731208,226214,1,2,11791
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,86,746166,226214,1,2,26082
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,87,679833,226214,1,2,16250
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,88,676792,226214,1,2,13584
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,89,667667,226214,1,2,8750
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,90,700583,226214,1,2,32208
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,91,680917,226214,1,2,2792
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,92,679500,226214,1,2,17458
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,93,721375,226214,1,2,875
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,94,691459,226214,1,2,11250
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,95,680500,226214,1,2,17292
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,96,680167,226214,1,2,11626
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,97,696791,226214,1,2,20957
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,98,711041,226214,1,2,4416
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,99,655750,226214,1,2,7125
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,100,688791,226214,1,2,16458
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,101,672750,226214,1,2,15208
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,102,670000,226214,1,2,5833
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,103,681875,226214,1,2,24625
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,104,680875,226214,1,2,6542
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,105,711292,226214,1,2,21209
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,106,668541,226214,1,2,26333
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,107,667333,226214,1,2,19250
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,108,652125,226214,1,2,8000
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,109,673792,226214,1,2,21125
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,110,665792,226214,1,2,11000
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,111,663750,226214,1,2,17250
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,112,661167,226214,1,2,7334
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,113,692417,226214,1,2,31417
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,114,673416,226214,1,2,21541
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,115,657292,226214,1,2,15583
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,116,702375,226214,1,2,250
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,117,670041,226214,1,2,13541
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,118,657791,226214,1,2,17666
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,119,653667,226214,1,2,5584
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,120,695125,226214,1,2,1834
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,121,700250,226214,1,2,15667
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,122,681708,226214,1,2,2333
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,123,672000,226214,1,2,8333
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,124,648417,226214,1,2,12042
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,125,782792,226214,1,2,8292
ps,2,65536,200000.0,0.4,0.0,1.0,127,0,126,672792,226214,1,2,11292
